"codigo_pais","pais","grupo"
"ARG","Argentina","Menos industrializado"
"BRA","Brazil","Menos industrializado"
"CHL","Chile","Menos industrializado"
"CHN","China","Más industrializado"
"COL","Colombia","Más industrializado"
"CRI","Costa Rica","Más industrializado"
"FRA","France","Menos industrializado"
"DEU","Germany","Más industrializado"
"IDN","Indonesia","Más industrializado"
"KOR","Korea, Rep.","Más industrializado"
"MEX","Mexico","Menos industrializado"
"ESP","Spain","Más industrializado"
"TUR","Turkiye","Más industrializado"
"GBR","United Kingdom","Menos industrializado"
"USA","United States","Menos industrializado"
